Ano,Mês,Dia,Ativo,Cotação,Variação
2018,02,08,Poços de Caldas/MG (CaféPoços),"453,00","+0,44"
2018,02,08,Patrocínio/MG (Expocaccer),"450,00","0,00"
2018,02,08,Araguarí/MG (Coocacer),"460,00","+1,10"
2018,02,08,Varginha/MG (Minasul),"440,00","0,00"
2018,02,08,Lajinha/MG (Coocafé),"445,00","0,00"
2018,02,08,Esp. Sto. do Pinhal/SP (Coopinhal),"435,00","0,00"
2018,02,08,Franca/SP (Cocapec),"455,00","+1,11"
2018,02,08,Maringá/PR (Cocamar),"428,00","0,00"
2018,02,08,Vitória/ES (BCSP),"435,00","0,00"
2018,02,08,Oeste da Bahia (AIBA),"445,00","+0,56"
2018,02,08,Média Rio Grande do Sul (Clicmercado),"455,00","+1,11"
2018,02,09,Guaxupé/MG (Cooxupé),"448,00","0,00"
2018,02,09,Poços de Caldas/MG (CaféPoços),"456,00","+0,66"
2018,02,09,Patrocínio/MG (Expocaccer),"450,00","0,00"
2018,02,09,Araguarí/MG (Coocacer),"460,00","0,00"
2018,02,09,Varginha/MG (Minasul),"440,00","0,00"
2018,02,09,Lajinha/MG (Coocafé),"440,00","-1,12"
2018,02,09,Esp. Sto. do Pinhal/SP (Coopinhal),"430,00","-1,15"
2018,02,09,Franca/SP (Cocapec),"455,00","0,00"
2018,02,09,Maringá/PR (Cocamar),"435,00","+1,64"
2018,02,09,Vitória/ES (BCSP),"435,00","0,00"
2018,02,09,Oeste da Bahia (AIBA),"442,50","-0,56"
2018,02,09,Média Rio Grande do Sul (Clicmercado),"455,00","0,00"
2018,02,12,Guaxupé/MG (Cooxupé),"448,00",-
2018,02,12,Poços de Caldas/MG (CaféPoços),"456,00",-
2018,02,12,Patrocínio/MG (Expocaccer),"450,00",-
2018,02,12,Araguarí/MG (Coocacer),"460,00",-
2018,02,12,Varginha/MG (Minasul),"440,00",-
2018,02,12,Lajinha/MG (Coocafé),"440,00",-
2018,02,12,Esp. Sto. do Pinhal/SP (Coopinhal),"430,00",-
2018,02,12,Franca/SP (Cocapec),"455,00",-
2018,02,12,Maringá/PR (Cocamar),"435,00",-
2018,02,12,Vitória/ES (BCSP),"435,00",-
2018,02,12,Oeste da Bahia (AIBA),"442,50",-
2018,02,12,Média Rio Grande do Sul (Clicmercado),"455,00",-
2018,02,14,Guaxupé/MG (Cooxupé),"445,00","-0,67"
2018,02,14,Poços de Caldas/MG (CaféPoços),"452,00","-0,88"
2018,02,14,Patrocínio/MG (Expocaccer),"450,00","0,00"
2018,02,14,Araguarí/MG (Coocacer),"450,00","-2,17"
2018,02,14,Varginha/MG (Minasul),"440,00","0,00"
2018,02,14,Lajinha/MG (Coocafé),"440,00",-
